Designator,Mid X,Mid Y,Rotation,Layer
BT1,122.265,-92.0,0.0,top
D1,194.745,-86.0,0.0,top
D2,156.48,-109.0,180.0,top
Q1,135.865,-117.0,270.0,top
Q2,108.615,-117.0,270.0,top
R1,107.75,-104.31,270.0,top
R2,115.44,-112.0,0.0,top
R3,129.25,-112.0,0.0,top
R4,136.75,-104.31,270.0,top
SW1,128.0,-124.25,0.0,top
SW2,116.5,-124.25,180.0,top
